pengajuan_pembiayaan_ref,koperasi_ref,nik,penanggung_jawab,nomor_penanggung_jawab,status_permohonan,formulir_permohonan_pembiayaan,nominal_permohonan,tenor,tujuan_permohonan,dibuat_pada,diperbarui_pada
PINJAM-8BCA6D8E2909,KOP-B4B7D0AB7FB3,931510170794****,PENANGGUNG-JAWAB,0813********,Diajukan,,500000000,0,LPDB,2025-01-05 21:58:17,2025-07-08 09:32:06
PINJAM-91561902A675,KOP-389809E3CF0B,210407260976****,PENANGGUNG-JAWAB,0855********,Diajukan,,500000000,0,LPDB,2025-12-11 14:16:44,2026-05-07 13:03:08
